day_sin,day_cos,dummy_department_finishing,dummy_department_sewing,dummy_team_1,dummy_team_2,dummy_team_3,dummy_team_4,dummy_team_5,dummy_team_6,dummy_team_7,dummy_team_8,dummy_team_9,dummy_team_10,dummy_team_11,dummy_team_12,dummy_no_of_style_change_no,dummy_no_of_style_change_yes,dummy_incentive_no,dummy_incentive_yes,norm_no_of_workers,norm_targeted_productivity,norm_over_time,norm_idle_time,norm_idle_men,norm_productivity_difference,Classification
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0987695416578571,0.7188363796702196,0.7502753236651469,-0.0574486796102864,-0.1129574507030137,-0.844982263619622,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.2080640025686799,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,-0.8185869479671604,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.1851480308335615,0.7188363796702196,-0.2709788379173443,-0.0574486796102864,-0.1129574507030137,0.0305354762306934,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.1851480308335615,0.7188363796702196,-0.2709788379173443,-0.0574486796102864,-0.1129574507030137,0.0305354762306934,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9636203235008656,0.7188363796702196,-0.7905642885470329,-0.0574486796102864,-0.1129574507030137,0.0317132950663038,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9636203235008656,0.7188363796702196,0.6427748856038321,-0.0574486796102864,-0.1129574507030137,0.033318369015097,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.2080640025686799,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,0.001824158758422,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0311949325793612,0.2080640025686799,0.6965251046344896,-0.0574486796102864,-0.1129574507030137,0.0110893216929012,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9185705841152018,0.2080640025686799,0.4277740094812023,-0.0574486796102864,-0.1129574507030137,0.0147496066774645,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0311949325793612,0.2080640025686799,0.6965251046344896,-0.0574486796102864,-0.1129574507030137,0.0314266800726916,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0311949325793612,-0.3027083745328596,0.6965251046344896,-0.0574486796102864,-0.1129574507030137,-0.0978763428846851,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.873520844729538,0.2080640025686799,0.5711079268962889,-0.0574486796102864,-0.1129574507030137,0.2701949167647128,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.1851480308335615,0.7188363796702196,-0.2709788379173443,-0.0574486796102864,-0.1129574507030137,0.6147634908197726,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,-0.8134807516343981,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,-0.3152001846831876,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.2080640025686799,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,0.4921967885153951,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.748269773154359,0.2080640025686799,-0.7188973298394896,-0.0574486796102864,-0.1129574507030137,1.014497430273002,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.7188363796702196,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,1.653708391641984,Normal
-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1438192810435208,-0.8134807516343981,0.7861088030189186,-0.0574486796102864,-0.1129574507030137,0.8388100727604839,Normal
-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.018568209468342,-0.3027083745328596,-0.9338982059621194,-0.0574486796102864,-0.1129574507030137,1.6812115996177304,Normal
-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.6581702943830314,0.7188363796702196,0.6069414062500604,-0.0574486796102864,-0.1129574507030137,-1.140450619598822,Normal
-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.7933195125400229,0.2080640025686799,0.3202735714198875,-0.0574486796102864,-0.1129574507030137,-1.4518887379908023,Normal
-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.7188363796702196,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,-0.9420910928167904,Normal
-0.7818314824680299,0.6234898018587334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.2080640025686799,-0.8980647266083477,-0.0574486796102864,-0.1129574507030137,-1.1857590953446326,Normal
-0.7818314824680299,0.6234898018587334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1987671670109972,0.7188363796702196,-1.0772321233772058,-0.0574486796102864,-0.1129574507030137,-0.6087990840281264,Normal
-0.7818314824680299,0.6234898018587334,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9861451931936976,0.7188363796702196,0.5173577078656314,-0.0574486796102864,-0.1129574507030137,0.0295683364691104,Normal
-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8960457144223699,0.7188363796702196,0.5890246665731746,-0.0574486796102864,-0.1129574507030137,0.0320819053610383,Normal
-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0987695416578571,0.7188363796702196,0.7502753236651469,-0.0574486796102864,-0.1129574507030137,0.0321087165626556,Normal
-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0987695416578571,0.7188363796702196,0.7502753236651469,-0.0574486796102864,-0.1129574507030137,0.0321087165626556,Normal
-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.2301977702192253,0.7188363796702196,0.7502753236651469,-0.0574486796102864,-0.1129574507030137,0.0326169300106361,Normal
-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.1400982914478976,0.7188363796702196,0.7502753236651469,-0.0574486796102864,-0.1129574507030137,0.0331706387944454,Normal
